group	ID	Link	nseqs.orig	sobs.orig	coverage	nseqs.norm	sobs.norm	bergerparker	chao	shannon	simpson	ace
829266s	829266	s	63353	503	0.998643	9947	279	0.120539	526.730769	3.889076	0.03965	622.525215
829496e	829496	e	55181	425	0.998387	9986	282	0.220809	663	3.62926	0.069914	830.273856
829496s	829496	s	49401	307	0.999049	9979	218	0.09049	288.8	3.84756	0.037941	290.183212
829548g	829548	g	98161	618	0.999012	9953	324	0.134331	513.02439	3.853539	0.050566	633.127015
829586g	829586	g	79111	356	0.999191	9982	194	0.1109	262.875	3.635597	0.048157	267.682402
829663g	829663	g	104552	580	0.999101	9954	283	0.076552	372.25	4.098427	0.030158	378.972118
829663s	829663	s	58538	499	0.998838	9997	349	0.210463	503.468085	3.920143	0.060895	578.649729
829867s	829867	s	57992	382	0.99881	9990	249	0.266967	415.875	3.448203	0.10016	475.849665
829961g	829961	g	61274	447	0.998956	9938	238	0.114711	353.16129	3.506365	0.058817	423.329495
829961p	829961	p	50466	446	0.998692	9974	285	0.124022	565.275862	3.764715	0.04362	697.044049
829961s	829961	s	55748	396	0.998816	9998	263	0.188738	486.166667	3.659219	0.070884	618.969235
830014g	830014	g	44589	307	0.998654	9971	201	0.32424	258.416667	2.883005	0.156437	253.332386
830014s	830014	s	39284	260	0.998804	10012	213	0.09169	319.730769	3.696574	0.040161	386.014645
830111g	830111	g	75692	439	0.999221	9975	267	0.174035	497.576923	3.70425	0.058911	687.865055
830111p	830111	p	72570	364	0.999297	9972	219	0.135178	299	3.640285	0.057949	294.619268
830111s	830111	s	46418	612	0.997695	9953	399	0.062896	555	4.459384	0.020433	698.478773
830250g	830250	g	37724	534	0.997482	10024	439	0.103352	677.982759	4.421859	0.028846	870.140619
830250p	830250	p	24147	349	0.996977	9968	276	0.110955	355.456522	3.951809	0.038924	383.877374
831079s	831079	s	52052	440	0.998578	9975	287	0.140551	403.277778	3.943688	0.04269	470.18372
831494g	831494	g	64548	346	0.998916	9960	189	0.177309	254.206897	3.317974	0.066916	316.782244
831494s	831494	s	58795	296	0.999184	9998	196	0.275655	305.5	3.302357	0.097804	470.044229
831609g	831609	g	40064	316	0.998203	9952	194	0.175241	296.24	3.395224	0.064447	411.288248
831609p	831609	p	31451	390	0.997679	10009	317	0.089619	675.625	3.830238	0.040158	967.26353
831609s	831609	s	86982	544	0.999207	9951	304	0.089137	457.030303	4.189884	0.029004	550.94364
831690g	831690	g	22095	337	0.996922	9968	269	0.159912	407.181818	3.507763	0.067931	450.223156
831690p	831690	p	45086	321	0.998381	9963	192	0.103985	294.666667	3.782118	0.041547	310.60061
831872g	831872	g	55705	443	0.998618	9975	290	0.104762	399.371429	4.10534	0.031857	395.343596
831872p	831872	p	61085	498	0.998576	9941	274	0.35761	430.107143	3.237238	0.146172	484.306168
831872s	831872	s	77358	498	0.998914	9977	292	0.10424	393.108108	4.168609	0.030704	447.584757
831873s	831873	s	41508	368	0.998458	9962	245	0.163421	346.935484	3.617793	0.060173	341.469327
831979g	831979	g	56640	576	0.998694	9982	404	0.083651	614	4.400653	0.027901	731.984926
831979p	831979	p	71107	331	0.999409	9975	199	0.202306	299.037037	3.277817	0.083545	372.862943
831979s	831979	s	23269	130	0.999055	9990	108	0.350951	184.153846	2.545691	0.156573	265.339452
832116g	832116	g	42693	485	0.997869	9944	320	0.092619	441.871795	4.180424	0.031942	505.644669
832116s	832116	s	53047	437	0.998605	9991	302	0.078371	448.447368	3.92913	0.037011	525.344504
