OTU	Domain	Phylum	Class	Order	Family	Genus	Species
Otu03615	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	unclassified	unclassified
Otu03616	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	unclassified
Otu03617	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	[Barnesiellaceae]	unclassified	unclassified
Otu03618	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified	unclassified
Otu03619	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	unclassified
Otu03620	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified
Otu03621	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	copri
Otu03622	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	clausii
Otu03623	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	unclassified
Otu03624	Bacteria	Firmicutes	Clostridia	Clostridiales	unclassified	unclassified	unclassified
Otu03625	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	unclassified
Otu03626	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	[Paraprevotellaceae]	Paraprevotella	unclassified
Otu03627	Bacteria	Firmicutes	Erysipelotrichi	Erysipelotrichales	Erysipelotrichaceae	Coprobacillus	cateniformis
Otu03628	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	unclassified
Otu03629	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	unclassified
Otu03630	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	bromii
Otu03631	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillospira	unclassified
Otu03632	Bacteria	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified
Otu03633	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	unclassified
Otu03634	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	celatum
Otu03635	Bacteria	Firmicutes	Clostridia	Clostridiales	Veillonellaceae	unclassified	unclassified
Otu03636	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	unclassified	unclassified
Otu03637	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	unclassified	unclassified
Otu03638	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	unclassified	unclassified
Otu03639	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	unclassified
Otu03640	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	indistinctus
Otu03641	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	unclassified
Otu03642	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	unclassified	unclassified
Otu03643	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	distasonis
Otu03644	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unclassified	unclassified
